Periode,Supplier,Kode Article,Nama Article,Qty
2023-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),7.0
2023-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),8.0
2023-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),12.0
2023-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
2023-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),5.0
2023-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),16.0
2023-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),4.0
2024-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),15.0
2024-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2024-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),6.0
2024-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),10.0
2024-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),33.0
2024-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),4.0
2024-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),7.0
2024-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),14.0
2024-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),11.0
2024-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),16.0
2024-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),7.0
2024-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),7.0
2025-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),19.0
2025-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),15.0
2025-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2025-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),13.0
2025-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),24.0
2025-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),22.0
2025-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),34.0
2025-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),23.0
2025-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),27.0
2025-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),28.0
2025-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),14.0
2025-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),11.0
2026-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003170403,ANTANGIN 4 S ( 1 PAK ISI 20),14.0
2020-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,120.0
2020-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,120.0
2020-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,0.0
2020-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,0.0
2020-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,73.0
2020-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,121.0
2020-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,106.0
2020-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,150.0
2020-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,50.0
2020-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,88.0
2020-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,241.0
2021-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,213.0
2021-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,128.0
2021-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,226.0
2021-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,89.0
2021-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,0.0
2021-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,0.0
2021-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,0.0
2021-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,12.0
2021-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,186.0
2021-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,39.0
2021-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,99.0
2021-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,108.0
2022-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,182.0
2022-02-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,77.0
2022-03-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,250.0
2022-04-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,99.0
2022-05-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,161.0
2022-06-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,238.0
2022-07-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,300.0
2022-08-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,125.0
2022-09-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,195.0
2022-10-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,296.0
2022-11-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,369.0
2022-12-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,101.0
2023-01-01,P0047 -  PT.JAVAS TRIPTA MANDALA,8992003783399,ANTANGIN GINGER MINT 15 ML,116.0
